state	Year	cost_per_pack	sales_per_capita	tax_dollar	tax_percent	tax_revenue	tax_state	index	price_cpi
Alabama	2019	5.784	53.1	1.685	29.1	165763113.0	0.675	255.65741666666668	4.932037632391523
Alaska	1970	0.418	121.3	0.16	38.3	2737000.0	0.08		
Alaska	1971	0.421	123.0	0.16	38.0	2996000.0	0.08		
Alaska	1972	0.42	130.0	0.16	38.1	3255000.0	0.08		
Alaska	1973	0.438	125.8	0.16	36.5	3274000.0	0.08		
Alaska	1974	0.449	130.4	0.16	35.6	3444000.0	0.08		
Alaska	1975	0.483	150.4	0.16	33.1	4056000.0	0.08		
Alaska	1976	0.515	164.8	0.16	31.1	4649000.0	0.08		
Alaska	1977	0.563	159.3	0.16	28.4	4868000.0	0.08		
Alaska	1978	0.571	143.6	0.16	28.0	4676000.0	0.08		
Alaska	1979	0.609	138.1	0.16	26.3	4451000.0	0.08		
Alaska	1980	0.635	134.0	0.16	25.2	4351000.0	0.08		
Alaska	1981	0.728	144.0	0.16	22.0	4607000.0	0.08		
Alaska	1982	0.86	148.3	0.16	18.6	4888000.0	0.08		
Alaska	1983	0.962	146.9	0.24	24.9	5148000.0	0.08		
Alaska	1984	1.027	133.6	0.24	23.4	5341000.0	0.08		
Alaska	1985	1.1	128.9	0.32	29.1	5395000.0	0.08		
Alaska	1986	1.215	126.3	0.32	26.3	8191000.0	0.16		
Alaska	1987	1.254	110.4	0.32	25.6	9503000.0	0.16		
Alaska	1988	1.394	80.0	0.32	23.0	8865000.0	0.16		
Alaska	1989	1.702	94.4	0.45	26.4	8130515.0	0.16		
Alaska	1990	2.017	100.2	0.45	22.3	13450527.0	0.16		
Alaska	1991	2.073	101.8	0.49	23.6	16377954.0	0.29		
Alaska	1992	2.191	98.5	0.49	22.4	15812651.0	0.29		
Alaska	1993	2.009	95.2	0.54	26.9	15321090.0	0.29		
Alaska	1994	2.014	94.1	0.53	25.2	15548000.0	0.29		
Alaska	1995	2.125	89.5	0.53	24.9	15752759.0	0.29		
Alaska	1996	2.144	89.9	0.53	24.7	15907733.0	0.29		
Alaska	1997	2.97	81.7	1.24	41.8	14379771.0	0.29		
Alaska	1998	3.276	78.6	1.24	37.9	28431309.0	0.29		
Alaska	1999	4.047	70.5	1.24	30.6	42915000.0	1.0		
Alaska	2000	4.397	66.0	1.34	30.5	43091506.0	1.0		
Alaska	2001	4.433	65.2	1.34	30.2	40893899.0	1.0		
Alaska	2002	4.591	63.7	1.39	30.3	40434020.0	1.0		
Alaska	2003	4.415	63.6	1.39	31.5	40239153.0	1.0		
Alaska	2004	5.03	63.6	1.39	27.6	41260582.0	1.0		
Alaska	2005	5.61	60.2	1.99	35.5	48750294.0	1.6		
Alaska	2006	5.819	54.5	2.19	37.6	57910992.0	1.6		
Alaska	2007	6.351	52.9	2.39	37.6	63849816.0	1.8		
Alaska	2008	6.69	47.0	2.39	35.7	64193492.0	2.0		
Alaska	2009	7.605	45.8	3.01	39.6	62882219.0	2.0		
Alaska	2010	7.607	43.8	3.01	39.6	61237633.0	2.0		
Alaska	2011	8.494	43.3	3.01	35.4	61478147.0	2.0		
Alaska	2012	8.3	41.2	3.01	36.3	59586835.0	2.0		
Alaska	2013	8.659	39.0	3.01	34.8	56983372.0	2.0		
Alaska	2014	8.901	37.2	3.01	33.8	54624390.0	2.0		
Alaska	2015	9.018	35.8	3.01	33.4	52702165.0	2.0	237.01700000000002	8.29444301463608
Alaska	2016	9.013	35.6	3.01	33.4	52573488.0	2.0	240.00716666666665	8.18656387343989
Alaska	2017	9.253	32.9	3.01	32.5	48857026.0	2.0	245.11958333333334	8.229264967609346
Alaska	2018	9.37	31.1	3.01	32.1	46021896.0	2.0	251.10683333333336	8.134625302245192
Alaska	2019	9.553	30.4	3.01	31.5	44773153.0	2.0	255.65741666666668	8.145877507302252
Arizona	1970	0.385	115.2	0.18	46.7	19510371.0	0.1		
Arizona	1971	0.38	109.6	0.18	47.4	19640088.0	0.1		
Arizona	1972	0.387	125.0	0.18	46.5	23116211.0	0.1		
Arizona	1973	0.392	128.3	0.18	45.9	24963408.0	0.1		
Arizona	1974	0.477	133.1	0.21	44.0	27387025.0	0.1		
Arizona	1975	0.491	121.8	0.21	42.8	34513342.0	0.13		
Arizona	1976	0.487	122.3	0.21	43.1	35349459.0	0.13		
Arizona	1977	0.536	121.7	0.21	39.2	35910542.0	0.13		
Arizona	1978	0.586	124.7	0.21	35.8	37232113.0	0.13		
Arizona	1979	0.608	124.6	0.21	34.5	38135772.0	0.13		
Arizona	1980	0.633	126.8	0.21	33.2	40387868.0	0.13		
Arizona	1981	0.733	113.8	0.21	28.6	40210749.0	0.13		
Arizona	1982	0.805	113.5	0.21	26.1	41240299.0	0.13		
Arizona	1983	0.928	111.1	0.29	31.3	41322538.0	0.13		
Arizona	1984	0.988	107.1	0.31	31.4	42047774.0	0.13		
Arizona	1985	1.067	107.1	0.31	29.1	49914889.0	0.15		
Arizona	1986	1.135	107.9	0.31	27.3	51271543.0	0.15		
Arizona	1987	1.135	106.1	0.31	27.2	51756221.0	0.15		
Arizona	1988	1.256	102.2	0.31	24.3	52761017.0	0.15		
Arizona	1989	1.302	96.8	0.31	23.8	50497361.0	0.15		
Arizona	1990	1.514	88.9	0.34	22.5	47367639.0	0.15		
Arizona	1991	1.657	81.2	0.38	22.9	52400987.0	0.15		
Arizona	1992	1.836	79.0	0.38	20.7	53152206.0	0.18		
Arizona	1993	1.621	80.3	0.42	25.9	54098346.0	0.18		
Arizona	1994	1.629	79.0	0.42	25.8	54392580.0	0.18		
Arizona	1995	2.079	77.3	0.82	39.4	109614212.0	0.18		
Arizona	1996	2.22	71.4	0.82	36.9	171622649.0	0.58		
Arizona	1997	2.31	64.6	0.82	35.5	166315143.0	0.58		
Arizona	1998	2.501	66.0	0.82	32.8	169626199.0	0.58		
Arizona	1999	3.177	61.7	0.82	25.8	166481637.0	0.58		
Arizona	2000	3.458	58.5	0.92	26.6	162795250.0	0.58		
Arizona	2001	3.606	54.1	0.92	25.5	160870757.0	0.58		
Arizona	2002	3.85	52.0	1.57	40.8	160155700.0	0.58		
Arizona	2003	4.031	48.2	1.57	38.9	216941668.0	1.18		
Arizona	2004	3.967	42.5	1.57	39.6	280173860.0	1.18		
Arizona	2005	4.156	42.3	1.57	37.8	286386310.0	1.18		
Arizona	2006	4.35	42.2	1.57	36.1	296078470.0	1.18		
Arizona	2007	5.202	37.5	2.39	45.9	354887901.0	2.0		
Arizona	2008	5.466	31.8	2.39	43.7	397172122.0	2.0		
Arizona	2009	6.274	28.6	3.01	48.0	371476941.0	2.0		
Arizona	2010	6.459	24.8	3.01	46.6	327381714.0	2.0		
Arizona	2011	6.492	27.1	3.01	46.4	328721247.0	2.0		
Arizona	2012	6.6	25.0	3.01	45.6	322217444.0	2.0		
Arizona	2013	6.622	24.4	3.01	45.5	316111769.0	2.0		
Arizona	2014	6.752	23.0	3.01	44.6	304872144.0	2.0		
Arizona	2015	6.916	23.0	3.01	43.5	310164906.0	2.0	237.01700000000002	6.361096461435255
Arizona	2016	6.923	23.1	3.01	43.5	318976882.0	2.0	240.00716666666665	6.2882038939115015
Arizona	2017	7.104	22.5	3.01	42.4	316089295.0	2.0	245.11958333333334	6.318026405478958
Arizona	2018	7.362	21.8	3.01	40.9	306302317.0	2.0	251.10683333333336	6.391367286566607
Arizona	2019	7.513	20.7	3.01	40.1	296712275.0	2.0	255.65741666666668	6.40636215977827
Arkansas	1970	0.388	100.3	0.2075	53.5	24493875.0	0.1225		
Arkansas	1971	0.441	104.1	0.2575	58.4	27438688.0	0.1775		
Arkansas	1972	0.451	103.9	0.2575	57.1	35848433.0	0.1775		
Arkansas	1973	0.455	108.0	0.2575	56.6	37917550.0	0.1775		
Arkansas	1974	0.486	109.7	0.2575	53.0	39654387.0	0.1775		
Arkansas	1975	0.509	114.8	0.2575	50.6	42027562.0	0.1775		
Arkansas	1976	0.526	119.1	0.2575	49.0	44721125.0	0.1775		
Arkansas	1977	0.565	122.6	0.2575	45.6	45878425.0	0.1775		
Arkansas	1978	0.584	127.3	0.2575	44.1	48463712.0	0.1775		
Arkansas	1979	0.615	126.5	0.2575	41.9	49072538.0	0.1775		
Arkansas	1980	0.647	131.8	0.2575	39.8	50988650.0	0.1775		
Arkansas	1981	0.721	128.7	0.2575	35.7	52216063.0	0.1775		
Arkansas	1982	0.82	127.4	0.2575	31.4	51931175.0	0.1775		
Arkansas	1983	0.936	128.0	0.37	39.5	54616725.0	0.21		
Arkansas	1984	0.985	123.1	0.37	37.6	60611138.0	0.21		
Arkansas	1985	1.036	125.8	0.37	35.7	62733844.0	0.21		
Arkansas	1986	1.13	126.0	0.37	32.7	62155739.0	0.21		
Arkansas	1987	1.199	122.3	0.37	30.8	61658584.0	0.21		
Arkansas	1988	1.277	121.5	0.37	29.0	61767668.0	0.21		
Arkansas	1989	1.412	118.3	0.37	26.2	60710757.0	0.21		
Arkansas	1990	1.465	113.1	0.37	25.3	57859721.0	0.21		
Arkansas	1991	1.773	116.8	0.42	23.7	57851063.0	0.21		
Arkansas	1992	1.799	126.0	0.42	23.3	65362674.0	0.21		
Arkansas	1993	1.681	113.8	0.555	33.0	72196949.0	0.22		
Arkansas	1994	1.673	108.8	0.555	33.2	81346688.0	0.345		
Arkansas	1995	1.671	113.0	0.555	33.2	86742788.0	0.315		
Arkansas	1996	1.813	110.7	0.555	30.6	85978675.0	0.315		
Arkansas	1997	1.873	108.7	0.555	29.6	85952917.0	0.315		
Arkansas	1998	2.069	109.5	0.555	26.8	86593871.0	0.315		
Arkansas	1999	2.793	104.8	0.555	19.9	83303347.0	0.315		
Arkansas	2000	2.944	99.4	0.655	22.2	82409447.0	0.315		
Arkansas	2001	3.3	101.7	0.655	19.8	85619768.0	0.315		
Arkansas	2002	3.522	87.2	0.73	20.7	79846771.0	0.34		
Arkansas	2003	3.596	91.6	0.98	27.3	86736560.0	0.59		
Arkansas	2004	3.535	79.8	0.98	27.7	131000087.0	0.59		
Arkansas	2005	3.53	82.1	0.98	27.8	129860482.0	0.59		
Arkansas	2006	3.714	81.4	0.98	26.4	133418145.0	0.59		
Arkansas	2007	3.822	78.4	0.98	25.6	127394493.0	0.59		
Arkansas	2008	3.93	77.0	0.98	24.9	128864614.0	0.59		
Arkansas	2009	5.288	72.6	2.16	40.8	148826375.0	1.15		
Arkansas	2010	5.454	63.2	2.16	39.6	206311982.0	1.15		
Arkansas	2011	5.551	61.1	2.16	38.9	200418005.0	1.15		
Arkansas	2012	5.485	60.5	2.16	39.4	199654545.0	1.15		
Arkansas	2013	5.521	57.5	2.16	39.1	190245330.0	1.15		
Arkansas	2014	5.508	54.4	2.16	39.2	179735100.0	1.15		
Arkansas	2015	5.655	54.0	2.16	38.2	177322717.0	1.15	237.01700000000002	5.2012724825645416
Arkansas	2016	5.744	54.2	2.16	37.6	179027016.0	1.15	240.00716666666665	5.217310871967018
Arkansas	2017	5.958	52.4	2.16	36.3	173931263.0	1.15	245.11958333333334	5.2988177539194306
Arkansas	2018	6.055	50.2	2.16	35.7	167579954.0	1.15	251.10683333333336	5.256686894887368
Arkansas	2019	6.259	47.6	2.16	34.5	161909335.0	1.15	255.65741666666668	5.337071843212059
California	1970	0.397	123.0	0.18	45.3	239111000.0	0.1		
California	1971	0.399	121.0	0.18	45.1	241878000.0	0.1		
California	1972	0.399	123.5	0.18	45.1	249849000.0	0.1		
California	1973	0.419	124.4	0.18	43.0	254630000.0	0.1		
California	1974	0.45	126.7	0.18	40.0	261029000.0	0.1		
California	1975	0.483	127.1	0.18	37.3	265698000.0	0.1		
California	1976	0.49	128.0	0.18	36.7	271234000.0	0.1		
California	1977	0.587	126.4	0.18	30.7	272021000.0	0.1		
California	1978	0.601	126.1	0.18	30.0	276202000.0	0.1		
California	1979	0.621	121.9	0.18	29.0	271823000.0	0.1		
California	1980	0.664	120.2	0.18	27.1	272774000.0	0.1		
California	1981	0.728	118.6	0.18	24.7	280626000.0	0.1		
California	1982	0.849	115.4	0.18	21.2	279205000.0	0.1		
California	1983	0.949	110.8	0.26	27.4	273943000.0	0.1		
California	1984	0.98	104.8	0.26	26.5	265535000.0	0.1		
California	1985	1.044	102.8	0.26	24.9	265403000.0	0.1		
California	1986	1.039	99.7	0.26	25.0	261213000.0	0.1		
California	1987	1.174	97.5	0.26	22.2	256877000.0	0.1		
California	1988	1.264	90.1	0.26	20.6	251614000.0	0.1		
California	1989	1.638	82.4	0.51	31.1	503985000.0	0.35		
California	1990	1.868	77.8	0.51	27.3	777806372.0	0.35		
California	1991	2.019	68.7	0.55	27.2	729532100.0	0.35		
California	1992	2.051	67.5	0.55	26.8	717361867.0	0.35		
California	1993	1.903	63.4	0.59	31.0	673194758.0	0.35		
California	1994	1.951	58.6	0.61	31.3	653545894.0	0.37		
California	1995	1.979	56.4	0.61	30.8	662551030.0	0.37		
California	1996	2.003	54.5	0.61	30.5	644499085.0	0.37		
California	1997	2.078	53.8	0.61	29.4	634972518.0	0.37		
California	1998	2.249	52.3	0.61	27.1	617309414.0	0.37		
California	1999	3.512	47.2	1.11	31.6	849117471.0	0.87		
California	2000	3.655	41.6	1.21	33.1	1176859405.0	0.87		
California	2001	3.977	38.0	1.21	30.4	1120194150.0	0.87		
California	2002	4.081	35.8	1.26	30.9	1074322864.0	0.87		
California	2003	3.947	34.7	1.26	31.9	1040616216.0	0.87		
California	2004	3.841	33.1	1.26	32.8	1030056989.0	0.87		
California	2005	3.953	33.1	1.26	31.9	1032870955.0	0.87		
California	2006	3.95	32.9	1.26	31.9	1035290841.0	0.87		
California	2007	4.197	31.8	1.26	30.0	1007354061.0	0.87		
California	2008	4.292	30.3	1.26	29.4	963072445.0	0.87		
California	2009	5.087	28.8	1.88	37.0	920204311.0	0.87		
California	2010	5.374	26.3	1.88	35.0	845928927.0	0.87		
California	2011	5.395	26.0	1.88	34.8	843072021.0	0.87		
California	2012	5.4	25.2	1.88	34.8	827497368.0	0.87		
California	2013	5.51	23.9	1.88	34.1	788753850.0	0.87		
California	2014	5.475	22.7	1.88	34.3	757512960.0	0.87		
California	2015	5.607	22.3	1.88	33.5	754358820.0	0.87	237.01700000000002	5.1571237506170435
California	2016	5.607	22.0	1.88	33.5	748095546.0	0.87	240.00716666666665	5.092872921155827
California	2017	7.659	20.5	3.88	50.7	956712690.0	2.87	245.11958333333334	6.811622218407002
California	2018	7.862	16.6	3.88	49.4	1887613448.0	2.87	251.10683333333336	6.825445477721633
California	2019	8.141	15.8	3.88	47.7	1791254942.0	2.87	255.65741666666668	6.941860021663104
Colorado	1970	0.311	124.8	0.13	41.8	13101000.0	0.05		
Colorado	1971	0.312	125.5	0.13	41.7	13967000.0	0.05		
Colorado	1972	0.327	134.3	0.13	39.8	15328000.0	0.05		
Colorado	1973	0.381	137.9	0.18	47.2	16255000.0	0.05		
Colorado	1974	0.417	132.8	0.18	43.2	32364000.0	0.1		
Colorado	1975	0.448	131.0	0.18	40.2	32710000.0	0.1		
Colorado	1976	0.447	134.2	0.18	40.3	33914000.0	0.1		
Colorado	1977	0.574	132.0	0.23	40.1	34098000.0	0.1		
Colorado	1978	0.528	129.2	0.18	34.1	50757000.0	0.15		
Colorado	1979	0.546	131.5	0.18	33.0	35108000.0	0.1		
Colorado	1980	0.581	131.0	0.18	31.0	36311000.0	0.1		
Colorado	1981	0.614	133.8	0.18	29.3	38656000.0	0.1		
Colorado	1982	0.733	130.5	0.18	24.6	38705000.0	0.1		
Colorado	1983	0.834	125.3	0.31	37.2	38157000.0	0.1		
Colorado	1984	0.931	119.7	0.31	33.3	49528000.0	0.15		
Colorado	1985	0.951	112.4	0.31	32.6	54369000.0	0.15		
Colorado	1986	1.086	109.9	0.36	33.2	53052000.0	0.15		
Colorado	1987	1.16	102.4	0.36	31.0	66972910.0	0.2		
Colorado	1988	1.308	94.6	0.36	27.5	63320608.0	0.2		
Colorado	1989	1.493	88.8	0.36	24.1	59822164.0	0.2		
Colorado	1990	1.457	87.4	0.36	24.7	58895309.0	0.2		
Colorado	1991	1.575	90.2	0.4	25.4	59892549.0	0.2		
Colorado	1992	1.682	88.3	0.4	23.8	58654419.0	0.2		
Colorado	1993	1.532	88.6	0.44	28.7	58864837.0	0.2		
Colorado	1994	1.642	89.1	0.44	26.8	60025673.0	0.2		
Colorado	1995	1.696	85.4	0.44	25.9	61736338.0	0.2		
Colorado	1996	1.744	83.1	0.44	25.2	61731047.0	0.2		
Colorado	1997	1.858	81.3	0.44	23.7	62140937.0	0.2		
Colorado	1998	2.042	81.2	0.44	21.5	62048112.0	0.2		
Colorado	1999	2.813	79.6	0.44	15.6	61882583.0	0.2		
Colorado	2000	2.933	73.0	0.54	18.4	60818207.0	0.2		
Colorado	2001	3.061	70.4	0.54	17.6	60567252.0	0.2		
Colorado	2002	3.264	66.2	0.59	18.1	58518066.0	0.2		
Colorado	2003	3.214	63.8	0.59	18.4	56330686.0	0.2		
Colorado	2004	3.429	60.7	0.59	17.2	55255011.0	0.2		
Colorado	2005	4.036	57.9	1.23	30.5	116600483.0	0.84		
Colorado	2006	4.025	53.1	1.23	30.6	208072655.0	0.84		
Colorado	2007	4.213	51.1	1.23	29.2	204048087.0	0.84		
Colorado	2008	4.203	48.4	1.23	29.3	197765465.0	0.84		
Colorado	2009	5.078	46.0	1.85	36.4	191018492.0	0.84		
Colorado	2010	5.097	41.4	1.85	36.3	176557976.0	0.84		
Colorado	2011	5.216	40.6	1.85	35.5	171531588.0	0.84		
Colorado	2012	5.299	40.6	1.85	34.9	174467790.0	0.84		
Colorado	2013	5.415	38.3	1.85	34.2	167059169.0	0.84		
Colorado	2014	5.431	36.7	1.85	34.1	162218960.0	0.84		
Colorado	2015	5.443	36.3	1.85	34.0	163117891.0	0.84	237.01700000000002	5.006282249796427
Colorado	2016	5.49	35.8	1.85	33.7	163999393.0	0.84	240.00716666666665	4.986601094550649
Colorado	2017	5.696	34.5	1.85	32.5	160413997.0	0.84	245.11958333333334	5.065804955744389
Colorado	2018	5.873	32.1	1.85	31.5	151345229.0	0.84	251.10683333333336	5.098682433306939
Colorado	2019	6.06	30.4	1.85	30.5	145551255.0	0.84	255.65741666666668	5.167383826468297
Connecticut	1970	0.455	120.0	0.24	52.7	57913000.0	0.16		
Connecticut	1971	0.513	117.6	0.29	56.5	57202000.0	0.16		
Connecticut	1972	0.506	110.8	0.29	57.3	69983000.0	0.21		
Connecticut	1973	0.525	109.3	0.29	55.2	70720000.0	0.21		
Connecticut	1974	0.545	112.4	0.29	53.2	72582000.0	0.21		
Connecticut	1975	0.576	110.2	0.29	50.4	71458000.0	0.21		
Connecticut	1976	0.584	113.4	0.29	49.7	73701000.0	0.21		
Connecticut	1977	0.617	117.3	0.29	47.0	76803000.0	0.21		
Connecticut	1978	0.644	117.5	0.29	45.0	76700000.0	0.21		
Connecticut	1979	0.67	117.4	0.29	43.3	76544000.0	0.21		
Connecticut	1980	0.801	118.0	0.29	36.2	77161000.0	0.21		
Connecticut	1981	0.856	116.4	0.29	33.9	75961000.0	0.21		
Connecticut	1982	0.956	114.7	0.29	30.3	75483000.0	0.21		
Connecticut	1983	1.135	114.1	0.42	37.0	75564000.0	0.21		
Connecticut	1984	1.186	112.5	0.42	35.4	90454000.0	0.26		
Connecticut	1985	1.185	111.0	0.42	35.4	90922000.0	0.26		
Connecticut	1986	1.227	108.5	0.42	34.2	89483000.0	0.26		
Connecticut	1987	1.297	109.0	0.42	32.3	90031000.0	0.26		
Connecticut	1988	1.42	104.8	0.42	29.6	88352000.0	0.26		
Connecticut	1989	1.712	100.6	0.56	31.4	97623000.0	0.4		
Connecticut	1990	1.695	91.5	0.56	33.0	119516086.0	0.4		
Connecticut	1991	1.935	86.7	0.65	33.6	114506710.0	0.4		
Connecticut	1992	2.023	83.6	0.65	32.1	120786957.0	0.4		
Connecticut	1993	2.056	79.1	0.71	34.5	117494262.0	0.45		
Connecticut	1994	2.054	76.6	0.74	36.0	119272088.0	0.45		
Connecticut	1995	2.063	79.3	0.74	35.9	129752865.0	0.47		
Connecticut	1996	2.085	76.0	0.74	35.5	124388937.0	0.5		
Connecticut	1997	2.179	75.9	0.74	34.0	123589875.0	0.5		
Connecticut	1998	2.365	75.5	0.74	31.3	123618156.0	0.5		
Connecticut	1999	3.123	73.4	0.74	23.7	120025312.0	0.5		
Connecticut	2000	3.192	71.4	0.84	26.3	117215187.0	0.5		
Connecticut	2001	3.545	68.7	0.84	23.7	117001000.0	0.5		
Connecticut	2002	4.318	66.4	1.5	34.7	151324307.0	1.11		
Connecticut	2003	4.684	59.7	1.9	40.6	251978914.0	1.51		
Connecticut	2004	4.708	53.1	1.9	40.4	279555397.0	1.51		
Connecticut	2005	4.733	49.9	1.9	40.1	270187452.0	1.51		
Connecticut	2006	4.67	50.9	1.9	40.7	269670000.0	1.51		
Connecticut	2007	5.358	50.5	2.39	44.6	264019838.0	1.51		
Connecticut	2008	5.584	47.4	2.89	51.8	331970817.0	2.0		
Connecticut	2009	7.474	45.9	4.01	53.7	321568623.0	2.0		
Connecticut	2010	7.548	40.8	4.01	53.1	382087683.0	3.0		
Connecticut	2011	8.005	36.3	4.41	55.1	389770000.0	3.0		
Connecticut	2012	8.329	33.5	4.41	52.9	410490194.0	3.4		
Connecticut	2013	8.214	31.4	4.41	53.7	382919319.0	3.4		
Connecticut	2014	8.211	30.1	4.41	53.7	367577400.0	3.4		
Connecticut	2015	8.6	28.6	4.66	54.2	350286669.0	3.4	237.01700000000002	7.909981140593289
Connecticut	2016	8.892	28.3	4.91	55.2	364451380.0	3.65	240.00716666666665	8.07665882199351
Connecticut	2017	9.254	26.5	4.91	53.1	369918221.0	3.9	245.11958333333334	8.230154329434441
Connecticut	2018	9.753	23.8	5.36	55.0	355589691.0	4.35	251.10683333333336	8.467129196669942
Connecticut	2019	10.043	21.9	5.36	53.4	343079595.0	4.35	255.65741666666668	8.563702272148698
Delaware	1970	0.413	155.0	0.19	46.0	9328000.0	0.11		
Delaware	1971	0.447	161.1	0.22	49.2	9805000.0	0.11		
Delaware	1972	0.44	156.3	0.22	50.0	11983000.0	0.14		
Delaware	1973	0.442	154.7	0.22	49.8	12236000.0	0.14		
Delaware	1974	0.459	151.3	0.22	47.9	12206000.0	0.14		
Delaware	1975	0.501	147.6	0.22	43.9	11847000.0	0.14		
Delaware	1976	0.517	153.0	0.22	42.6	12409000.0	0.14		
Delaware	1977	0.587	153.3	0.22	37.5	12493000.0	0.14		
Delaware	1978	0.6	155.5	0.22	36.7	12672000.0	0.14		
Delaware	1979	0.627	150.2	0.22	35.1	12260000.0	0.14		
Delaware	1980	0.66	150.5	0.22	33.3	12261000.0	0.14		
Delaware	1981	0.741	152.6	0.22	29.7	12714000.0	0.14		
Delaware	1982	0.82	154.1	0.22	26.8	12904000.0	0.14		
Delaware	1983	0.911	149.6	0.3	32.9	12605000.0	0.14		
Delaware	1984	0.987	144.0	0.3	30.4	12278000.0	0.14		
Delaware	1985	1.052	144.5	0.3	28.5	12518000.0	0.14		
Delaware	1986	1.114	142.4	0.3	26.9	12569000.0	0.14		
Delaware	1987	1.193	141.0	0.3	25.2	12441583.0	0.14		
Delaware	1988	1.24	137.1	0.3	24.2	12472294.0	0.14		
Delaware	1989	1.4	131.7	0.3	21.4	12115228.0	0.14		
Delaware	1990	1.432	127.2	0.35	24.4	11701261.0	0.14		
Delaware	1991	1.747	118.8	0.44	25.1	17463430.0	0.14		
Delaware	1992	1.879	120.0	0.44	23.4	19489890.0	0.24		
Delaware	1993	1.525	123.8	0.48	31.5	20003796.0	0.24		
Delaware	1994	1.607	126.1	0.48	29.9	20705148.0	0.24		
Delaware	1995	1.691	127.2	0.48	28.4	21475896.0	0.24		
Delaware	1996	1.719	128.3	0.48	27.9	21924220.0	0.24		
Delaware	1997	1.792	124.1	0.48	26.8	21609756.0	0.24		
Delaware	1998	1.983	132.8	0.48	24.2	23095680.0	0.24		
Delaware	1999	2.762	139.5	0.48	17.4	24551400.0	0.24		
Delaware	2000	2.887	140.7	0.58	20.1	25956720.0	0.24		
Delaware	2001	3.171	141.4	0.58	18.3	26588160.0	0.24		
